symbol,z_number,a_number,mass (amu),spin,abundance (%),half_life (year),coherent_scattering_length (fm),incoherent_scattering_length (fm),coherent_cross_section (barn),incoherent_cross_section (barn),scattering_cross_section (barn),absorption_cross_section (barn)
H,1,,1.007975,,,,(-3.739+0j),,1.7568,80.26,82.02,0.3326
H,1,1,1.007825031898,1/2(+),99.985,,(-3.7406+0j),(25.274+0j),1.7583,80.27,82.03,0.3326
H,1,2,2.014101777844,1(+),0.015,,(6.671+0j),(4.04+0j),5.592,2.05,7.64,0.000519
H,1,3,3.01604928132,1/2(+),,12.32,(4.792+0j),(-1.04+0j),2.89,0.14,3.03,
He,2,,4.002602,,,,(3.26+0j),,1.34,,1.34,0.00747
He,2,3,3.01602932197,1/2(+),0.00014,,(5.74-1.483j),(-2.5+2.568j),4.42,1.6,6.0,5333.0
He,2,4,4.00260325413,O(+),99.99986,,(3.26+0j),,1.34,,1.34,
Li,3,,6.9675,,,,(-1.9+0j),,0.454,0.92,1.37,70.5
Li,3,6,6.01512288742,1(+),7.5,,(2-0.261j),(-1.89+0.26j),0.51,0.46,0.97,940.0
Li,3,7,7.01600343426,3/2(-),92.5,,(-2.22+0j),(-2.49+0j),0.619,0.78,1.4,0.0454
Be,4,9,9.012183062,3/2(-),100.0,,(7.79+0j),(0.12+0j),7.63,0.0018,7.63,0.0076
B,5,,10.8135,,,,(5.3-0.213j),,3.54,1.7,5.24,767.0
B,5,10,10.012936862,3(+),20.0,,(-0.1-1.066j),(-4.7+1.231j),0.144,3.0,3.1,3835.0
B,5,11,11.009305166,3/2(-),80.0,,(6.65+0j),(-1.3+0j),5.56,0.21,5.77,0.0055
C,6,,12.0106,,,,(6.646+0j),,5.55,0.001,5.551,0.0035
C,6,12,12.0,0(+),98.9,,(6.6511+0j),,5.559,,5.559,0.00353
C,6,13,13.00335483534,1/2(-),1.1,,(6.19+0j),(-0.52+0j),4.81,0.034,4.84,0.00137
N,7,,14.006855,,,,(9.36+0j),,11.01,0.5,11.51,1.9
N,7,14,14.00307400425,1(+),99.63,,(9.37+0j),(2+0j),11.03,0.5,11.53,1.91
N,7,15,15.00010889827,1/2(-),0.37,,(6.44+0j),(-0.02+0j),5.21,5e-05,5.21,2.4e-05
O,8,,15.9994,,,,(5.803+0j),,4.232,,4.232,0.00019
O,8,16,15.99491461926,0(+),99.762,,(5.803+0j),,4.232,,4.232,0.0001
O,8,17,16.99913175595,5/2(+),0.038,,(5.78+0j),(0.18+0j),4.2,0.004,4.2,0.236
O,8,18,17.99915961214,O(+),0.2,,(5.84+0j),,4.29,,4.29,0.00016
F,9,19,18.99840316207,1/2(+),100.0,,(5.654+0j),(-0.082+0j),4.017,0.0008,4.018,0.0096
Ne,10,,20.1797,,,,(4.566+0j),,2.62,0.008,2.628,0.039
Ne,10,20,19.99244017525,O(+),90.51,,(4.631+0j),,2.695,,2.695,0.036
Ne,10,21,20.993846685,3/2(+),0.27,,(6.66+0j),(±0.600000+0.000000j),5.6,0.05,5.7,0.67
Ne,10,22,21.991385113,O(+),9.22,,(3.87+0j),,1.88,,1.88,0.046
Na,11,23,22.98976928195,3/2(+),100.0,,(3.63+0j),(3.59+0j),1.66,1.62,3.28,0.53
Mg,12,,24.3055,,,,(5.375+0j),,3.631,0.08,3.71,0.063
Mg,12,24,23.985041689,O(+),78.99,,(5.66+0j),,4.03,,4.03,0.05
Mg,12,25,24.985836966,5/2(+),10.0,,(3.62+0j),(1.48+0j),1.65,0.28,1.93,0.19
Mg,12,26,25.982592972,0(+),11.01,,(4.89+0j),,3.0,,3.0,0.0382
Al,13,27,26.981538408,5/2(+),100.0,,(3.449+0j),(0.256+0j),1.495,0.0082,1.503,0.231
Si,14,,28.085,,,,(4.1491+0j),,2.1633,0.004,2.167,0.171
Si,14,28,27.97692653442,O(+),92.23,,(4.107+0j),,2.12,,2.12,0.177
Si,14,29,28.97649466434,1/2(+),4.67,,(4.7+0j),(0.09+0j),2.78,0.001,2.78,0.101
Si,14,30,29.973770137,0(+),3.1,,(4.58+0j),,2.64,,2.64,0.107
P,15,31,30.97376199768,1/2(+),100.0,,(5.13+0j),(0.2+0j),3.307,0.005,3.312,0.172
S,16,,32.0675,,,,(2.847+0j),,1.0186,0.007,1.026,0.53
S,16,32,31.97207117354,O(+),95.02,,(2.804+0j),,0.988,,0.988,0.54
S,16,33,32.97145890862,3/2(+),0.75,,(4.74+0j),(1.5+0j),2.8,0.3,3.1,0.54
S,16,34,33.967867011,O(+),4.21,,(3.48+0j),,1.52,,1.52,0.227
S,16,36,35.967080692,O(+),0.02,,(3+0j),,1.1,,1.1,0.15
Cl,17,,35.4515,,,,(9.577+0j),,11.526,5.3,16.8,33.5
Cl,17,35,34.968852694,3/2(+),75.77,,(11.65+0j),(6.1+0j),17.06,4.7,21.8,44.1
Cl,17,37,36.965902573,3/2(+),24.23,,(3.08+0j),(0.1+0j),1.19,0.001,1.19,0.433
Ar,18,,39.8775,,,,(1.909+0j),,0.458,0.225,0.683,0.675
Ar,18,36,35.967545106,O(+),0.337,,(24.9+0j),,77.9,,77.9,5.2
Ar,18,38,37.962732102,O(+),0.063,,(3.5+0j),,1.5,,1.5,0.8
Ar,18,40,39.96238312204,O(+),99.6,,(1.83+0j),,0.421,,0.421,0.66
K,19,,39.0983,,,,(3.67+0j),,1.69,0.27,1.96,2.1
K,19,39,38.96370648482,3/2(+),93.258,,(3.74+0j),(1.4+0j),1.76,0.25,2.01,2.1
K,19,40,39.963998165,4(-),0.012,,(3+0j),,1.1,0.5,1.6,35.0
K,19,41,40.96182525611,3/2(+),6.73,,(2.69+0j),(1.5+0j),0.91,0.3,1.2,1.46
Ca,20,,40.078,,,,(4.7+0j),,2.78,0.05,2.83,0.43
Ca,20,40,39.96259085,O(+),96.941,,(4.8+0j),,2.9,,2.9,0.41
Ca,20,42,41.95861778,O(+),0.647,,(3.36+0j),,1.42,,1.42,0.68
Ca,20,43,42.958766381,7/2(-),0.135,,(-1.56+0j),,0.31,0.5,0.8,6.2
Ca,20,44,43.955481489,O(+),2.086,,(1.42+0j),,0.25,,0.25,0.88
Ca,20,46,45.953687726,O(+),0.004,,(3.6+0j),,1.6,,1.6,0.74
Ca,20,48,47.952522654,O(+),0.187,,(0.39+0j),,0.019,,0.019,1.09
Sc,21,45,44.955907051,7/2(-),100.0,,(12.29+0j),(-6+0j),19.0,4.5,23.5,27.5
Ti,22,,47.867,,,,(-3.438+0j),,1.485,2.87,4.35,6.09
Ti,22,46,45.952626356,O(+),8.2,,(4.93+0j),,3.05,,3.05,0.59
Ti,22,47,46.951757491,5/2(-),7.4,,(3.63+0j),(-3.5+0j),1.66,1.5,3.2,1.7
Ti,22,48,47.947940677,O(+),73.8,,(-6.08+0j),,4.65,,4.65,7.84
Ti,22,49,48.947864391,7/2(-),5.4,,(1.04+0j),(5.1+0j),0.14,3.3,3.4,2.2
Ti,22,50,49.944785622,0(+),5.2,,(6.18+0j),,4.8,,4.8,0.179
V,23,,50.9415,,,,(-0.3824+0j),,0.01838,5.08,5.1,5.08
V,23,50,49.947156681,6(+),0.25,,(7.6+0j),,7.3,0.5,7.8,60.0
V,23,51,50.943957664,7/2(-),99.75,,(-0.402+0j),(6.35+0j),0.0203,5.07,5.09,4.9
Cr,24,,51.9961,,,,(3.635+0j),,1.66,1.83,3.49,3.05
Cr,24,50,49.946042209,0(+),4.35,,(-4.5+0j),,2.54,,2.54,15.8
Cr,24,52,51.940504714,0(+),83.79,,(4.92+0j),,3.042,,3.042,0.76
Cr,24,53,52.940646304,3/2(-),9.5,,(-4.2+0j),(6.87+0j),2.22,5.93,8.15,18.1
Cr,24,54,53.938877359,O(+),2.36,,(4.55+0j),,2.6,,2.6,0.36
Mn,25,55,54.93804304,5/2(-),100.0,,(-3.73+0j),(1.79+0j),1.75,0.4,2.15,13.3
Fe,26,,55.845,,,,(9.45+0j),,11.22,0.4,11.62,2.56
Fe,26,54,53.939608189,0(+),5.8,,(4.2+0j),,2.2,,2.2,2.25
Fe,26,56,55.934935537,0(+),91.7,,(9.94+0j),,12.42,,12.42,2.59
Fe,26,57,56.93539195,1/2(-),2.2,,(2.3+0j),,0.66,0.3,1.0,2.48
Fe,26,58,57.933273575,O(+),0.3,,(15+0j),,28.0,,28.0,1.28
Co,27,59,58.933193524,7/{-),100.0,,(2.49+0j),(-6.2+0j),0.779,4.8,5.6,37.18
Ni,28,,58.6934,,,,(10.3+0j),,13.3,5.2,18.5,4.49
