symbol   z       mass coherent_scattering_length_real coherent_scattering_length_imag incoherent_scattering_length_real incoherent_scattering_length_imag coherent_cross_section incoherent_cross_section total_cross_section
H        1   1.007940                       -3.739000                        0.000000                          0.000000                          0.000000               1.756800                80.260000           82.020000
He       2   4.002602                        3.260000                        0.000000                          0.000000                          0.000000               1.340000                 0.000000            1.340000
Li       3   6.941000                       -1.900000                        0.000000                          0.000000                          0.000000               0.454000                 0.920000            1.370000
Be       4   9.012182                        7.790000                        0.000000                          0.120000                          0.000000               7.630000                 0.001800            7.630000
B        5  10.811000                        5.300000                       -0.213000                          0.000000                          0.000000               3.540000                 1.700000            5.240000
C        6  12.010700                        6.646000                        0.000000                          0.000000                          0.000000               5.551000                 0.001000            5.551000
N        7  14.006700                        9.360000                        0.000000                          0.000000                          0.000000              11.010000                 0.500000           11.510000
O        8  15.999400                        5.803000                        0.000000                          0.000000                          0.000000               4.232000                 0.000800            4.232000
F        9  18.998403                        5.654000                        0.000000                         -0.082000                          0.000000               4.017000                 0.000800            4.018000
Ne      10  20.179700                        4.566000                        0.000000                          0.000000                          0.000000               2.620000                 0.008000            2.628000
Na      11  22.989770                        3.630000                        0.000000                          3.590000                          0.000000               1.660000                 1.620000            3.280000
Mg      12  24.305000                        5.375000                        0.000000                          0.000000                          0.000000               3.631000                 0.080000            3.710000
Al      13  26.981538                        3.449000                        0.000000                          0.256000                          0.000000               1.495000                 0.008200            1.503000
Si      14  28.085500                        4.149100                        0.000000                          0.000000                          0.000000               2.163000                 0.004000            2.167000
P       15  30.973761                        5.130000                        0.000000                          0.200000                          0.000000               3.307000                 0.005000            3.312000
S       16  32.065000                        2.847000                        0.000000                          0.000000                          0.000000               1.018600                 0.007000            1.026000
Cl      17  35.453000                        9.577000                        0.000000                          0.000000                          0.000000              11.525700                 5.300000           16.800000
Ar      18  39.948000                        1.909000                        0.000000                          0.000000                          0.000000               0.458000                 0.225000            0.683000
K       19  39.098300                        3.670000                        0.000000                          0.000000                          0.000000               1.690000                 0.270000            1.960000
Ca      20  40.078000                        4.700000                        0.000000                          0.000000                          0.000000               2.780000                 0.050000            2.830000
Sc      21  44.955910                       12.290000                        0.000000                         -6.000000                          0.000000              19.000000                 4.500000           23.500000
Ti      22  47.867000                       -3.438000                        0.000000                          0.000000                          0.000000               1.485000                 2.870000            4.350000
V       23  50.941500                       -0.382400                        0.000000                          0.000000                          0.000000               0.018400                 5.080000            5.100000
Cr      24  51.996100                        3.635000                        0.000000                          0.000000                          0.000000               1.660000                 1.830000            3.490000
Mn      25  54.938049                       -3.730000                        0.000000                          1.790000                          0.000000               1.750000                 0.400000            2.150000
Fe      26  55.845000                        9.450000                        0.000000                          0.000000                          0.000000              11.220000                 0.400000           11.620000
Co      27  58.933200                        2.490000                        0.000000                         -6.200000                          0.000000               0.779000                 4.800000            5.600000
Ni      28  58.693400                       10.300000                        0.000000                          0.000000                          0.000000              13.300000                 5.200000           18.500000
Cu      29  63.546000                        7.718000                        0.000000                          0.000000                          0.000000               7.485000                 0.550000            8.030000
Zn      30  65.409000                        5.680000                        0.000000                          0.000000                          0.000000               4.054000                 0.077000            4.131000
Ga      31  69.723000                        7.288000                        0.000000                          0.000000                          0.000000               6.675000                 0.160000            6.830000
Ge      32  72.640000                        8.185000                        0.000000                          0.000000                          0.000000               8.420000                 0.180000            8.600000
As      33  74.921600                        6.580000                        0.000000                         -0.690000                          0.000000               5.440000                 0.060000            5.500000
Se      34  78.960000                        7.970000                        0.000000                          0.000000                          0.000000               7.980000                 0.320000            8.300000
Br      35  79.904000                        6.795000                        0.000000                          0.000000                          0.000000               5.800000                 0.100000            5.900000
Kr      36  83.798000                        7.810000                        0.000000                          0.000000                          0.000000               7.670000                 0.010000            7.680000
Rb      37  85.467800                        7.090000                        0.000000                          0.000000                          0.000000               6.320000                 0.500000            6.800000
Sr      38  87.620000                        7.020000                        0.000000                          0.000000                          0.000000               6.190000                 0.060000            6.250000
Y       39  88.905850                        7.750000                        0.000000                          1.100000                          0.000000               7.550000                 0.150000            7.700000
Zr      40  91.224000                        7.160000                        0.000000                          0.000000                          0.000000               6.440000                 0.020000            6.460000
Nb      41  92.906380                        7.054000                        0.000000                         -0.139000                          0.000000               6.253000                 0.002400            6.255000
Mo      42  95.940000                        6.715000                        0.000000                          0.000000                          0.000000               5.670000                 0.040000            5.710000
Tc      43  98.000000                        6.800000                        0.000000                          0.000000                          0.000000               5.800000                 0.500000            6.300000
Ru      44 101.070000                        7.030000                        0.000000                          0.000000                          0.000000               6.210000                 0.400000            6.600000
Rh      45 102.905500                        5.880000                        0.000000                          0.000000                          0.000000               4.340000                 0.300000            4.600000
Pd      46 106.420000                        5.910000                        0.000000                          0.000000                          0.000000               4.390000                 0.093000            4.480000
Ag      47 107.868200                        5.922000                        0.000000                          0.000000                          0.000000               4.407000                 0.580000            4.990000
Cd      48 112.411000                        4.870000                       -0.700000                          0.000000                          0.000000               3.040000                 3.460000            6.500000
In      49 114.818000                        4.065000                       -0.053900                          0.000000                          0.000000               2.080000                 0.540000            2.620000
Sn      50 118.710000                        6.225000                        0.000000                          0.000000                          0.000000               4.871000                 0.022000            4.892000
Sb      51 121.760000                        5.570000                        0.000000                          0.000000                          0.000000               3.900000                 0.007000            3.900000
Te      52 127.600000                        5.800000                        0.000000                          0.000000                          0.000000               4.230000                 0.090000            4.320000
I       53 126.904470                        5.280000                        0.000000                          1.580000                          0.000000               3.500000                 0.310000            3.810000
Xe      54 131.293000                        4.920000                        0.000000                          3.040000                          0.000000               2.960000                 0.000000            0.000000
Cs      55 132.905450                        5.420000                        0.000000                          1.290000                          0.000000               3.690000                 0.210000            3.900000
Ba      56 137.327000                        5.070000                        0.000000                          0.000000                          0.000000               3.230000                 0.150000            3.380000
La      57 138.905500                        8.240000                        0.000000                          0.000000                          0.000000               8.530000                 1.130000            9.660000
Ce      58 140.116000                        4.840000                        0.000000                          0.000000                          0.000000               2.940000                 0.001000            2.940000
Pr      59 140.907650                        4.580000                        0.000000                         -0.350000                          0.000000               2.640000                 0.015000            2.660000
Nd      60 144.240000                        7.690000                        0.000000                          0.000000                          0.000000               7.430000                 9.200000           16.600000
Pm      61 145.000000                       12.600000                        0.000000                               nan                          0.000000              20.000000                 1.300000           21.300000
Sm      62 150.360000                        0.800000                       -1.650000                          0.000000                          0.000000               0.422000                39.000000           39.000000
Eu      63 151.964000                        7.220000                       -1.260000                          0.000000                          0.000000               6.570000                 2.500000            9.200000
